Num,Year,Month,Day,HourStart,MinStart,SegStart,HourEnd,MinEnd,SegEnd,StartPoint,EndPoint,Duration,Type,Station
1,2019,1,1,0,14,4,0,14,44,42200,44200,40,HB,BREF
2,2019,1,1,0,26,57,0,27,14,80850,81700,17,LP,BREF
3,2019,1,1,0,59,20,0,59,46,178000,179300,26,OTRO,BREF
4,2019,1,1,1,23,29,1,23,54,250450,251700,25,LP,BREF
5,2019,1,1,1,24,16,1,24,54,252800,254700,38,HB,BREF
6,2019,1,1,0,14,4,0,14,34,42200,43700,30,OTRO,BREF
7,2019,1,1,0,59,19,0,59,49,177950,179450,30,OTRO,BREF
8,2019,1,1,1,23,24,1,24,4,250200,252200,40,LP,BREF
9,2019,1,1,1,24,24,1,24,54,253200,254700,30,OTRO,BREF
10,2019,1,1,1,46,4,1,46,24,318200,319200,20,LP,BREF
11,2019,1,1,1,53,14,1,53,39,339700,340950,25,LP,BREF
12,2019,1,1,2,10,14,2,10,49,390700,392450,35,LP,BREF
13,2019,1,1,2,57,34,2,57,59,532700,533950,25,LP,BVC2
14,2019,1,1,3,31,16,3,31,34,633800,634700,18,OTRO,BREF
15,2019,1,1,4,2,14,4,2,54,726700,728700,40,OTRO,BREF
16,2019,1,1,4,59,52,5,0,19,899600,900950,27,OTRO,BREF
17,2019,1,1,5,1,54,5,2,9,905700,906450,15,LP,BREF
18,2019,1,1,5,3,39,5,4,9,910950,912450,30,LP,BREF
19,2019,1,1,5,10,39,5,10,54,931950,932700,15,LP,BREF
20,2019,1,1,5,59,19,5,59,49,1077950,1079450,30,LP,BREF
21,2019,1,1,6,23,24,6,23,44,1150200,1151200,20,LP,BREF
22,2019,1,1,6,23,28,6,23,48,1150400,1151400,20,LP,BREF
23,2019,1,1,6,29,46,6,30,4,1169300,1170200,18,HB,BREF
24,2019,1,1,7,52,34,7,53,9,1417700,1419450,35,LP,BREF
25,2019,1,1,7,59,24,7,59,54,1438200,1439700,30,LP,BREF
26,2019,1,1,8,30,42,8,30,59,1532100,1532950,17,HB,BREF
27,2019,1,1,8,44,26,8,44,54,1573300,1574700,28,LP,BREF
28,2019,1,1,9,36,54,9,37,24,1730700,1732200,30,LP,BREF
29,2019,1,1,9,37,39,9,37,59,1732950,1733950,20,LP,BREF
30,2019,1,1,12,6,44,12,7,9,2180200,2181450,25,VT,BREF
31,2019,1,1,12,54,24,12,54,49,2323200,2324450,25,LP,BREF
32,2019,1,1,16,10,29,16,10,54,2911450,2912700,25,LP,BREF
